name,description,type,sources
Cost,"The pricing model of the app, including whether it is free, has in-app purchases, or requires a subscription.",Text [1],"App Store, App Store pricing, App Stores, App store, App store descriptions, App store pricing, Developer Website, Google Play Store, Multiple sources, Official website, Pricing pages, Vendor Pricing Pages, Vendor Website, editor reviews, in-app information, in-app purchase information, official website, pricing information, reviews, subscription details"
Cross-Platform Availability,"The availability of the app across different platforms (iOS, Android, Web, etc.).",Text [*],"Amazon Appstore, App Store, App Store Listings, App Store descriptions, App Store listings, App store descriptions, App store listings, Apple App Store, Google Play, Google Play Store, Official App Websites, Official Websites, Official app descriptions, Official app documentation, Official app websites, Tech Blogs, app store descriptions, app store listings, company websites, official app websites, tech blogs"
Customer Support,The quality and responsiveness of the app's customer support.,Text [1],"App Store reviews, BBB ratings, G2 Crowd, Google Play reviews, Official App Websites, Official app websites, Official support channels, Official websites, Social Media Channels, Social media interactions, Tech blogs, Trustpilot, Trustpilot reviews, User Reviews on App Stores, User reviews, customer service ratings, customer support forums, official app websites, official support channels, tech blogs, tech reviews"
Ease of Use,How intuitive and user-friendly the app interface is.,Text[1],"AMZScout, App Store feedback, App reviews and comparisons, Crosslist, Editor reviews, Elite Daily, Expert Reviews, Expert reviews, Facebook Live, Filestage, Go Live, Google Drive Review, Greenlight, Honeygain, Multiple Sources, Multiple sources, Personal Experience, Prism Live Studio, SaleHoo, Shopify Australia, SimiCart, Sterling College, StreamYard, Tom's Guide, User Reviews, User reviews, Various sources, Zapier, app descriptions, app reviews, app store comments, app store descriptions, app store rating, app store ratings, editor reviews, expert reviews, multiple sources, user reviews"
Feature Set,The range and quality of photo editing features offered by the app.,Text [*],"App Annie, App Descriptions, App Store, App Store Descriptions, App Store descriptions, App descriptions, App reviews, App store descriptions, CNET, Capterra, Developer Websites, Expert Reviews, Expert reviews, G2, G2 Crowd, Google Play Store, Official App Descriptions, Official App Website, Official App Websites, Official Websites, Official app descriptions, Official app websites, PCMag, Platform feature documentation, Platform feature lists, Product descriptions, SimilarWeb, Tech blogs, Tech reviews, TechCrunch, TechRadar, User Feedback, User Manuals, User Reviews, User feedback, User reviews, app store descriptions, app store listings, comparative analyses, expert analyses, expert reviews, feature comparison articles, official app websites, official websites, tech articles, tech blogs, tech reviews, turn0news16, turn0news20, user feedback, user manuals, user reviews, user reviews on app stores"
Number of Downloads,Total number of times the app has been downloaded.,Integer [1],"Amazon Appstore, App Annie, App Store, Apple App Store, Google Play Store, Microsoft Store, Sensor Tower"
Platform Availability,"The platforms (iOS, Android, Web) on which the app is available.",Text [*],"Amazon Music, Anghami, App Documentation, App Store, App Store Listings, App Store descriptions, App Store listings, App description, App documentation, App official website, App store listings, Apple Music, Audiomack, Boomplay, Company Website, Company Websites, Croma Unboxed, Deezer, Gaana, Google Play Store, Hungama Music, JioSaavn, Multiple sources, Napster, Official App Descriptions, Official App Documentation, Official App Website, Official App Websites, Official Website, Official Websites, Official app websites, PCMag, Pandora, Qobuz, Reviews, Send Anywhere, Smart Shuffle, SoundCloud, Spotify, Sterling College, TechRadar, Tidal, Trebel, Website, Wikipedia, Wynk Music, YouTube Music, app store listings, app stores, iHeartRadio, official websites, turn0news13, turn0news14, turn0news17, turn0news23, turn0search0, turn0search1, turn0search15, turn0search16, turn0search17, turn0search19, turn0search2, turn0search20, turn0search3, turn0search4, turn0search5, turn0search7"
Update Frequency,"How often the app is updated with new features, bug fixes, and improvements.",Text [1],"Amazon Appstore, App Annie, App Store, App Store update history, App store descriptions, App store listings, App store update histories, App store update history, Apple App Store, Google Play, Google Play Store, Official Blogs, Official app blogs, Official app websites, Release notes, Sensor Tower, developer blogs, official app blogs, official app websites"
User Interface,"The design and usability of the app's interface, affecting ease of use and user experience.",Text[1],"([tomsguide.com](https://www.tomsguide.com/us/youtube-tv-faq%2Creview-5059.html?utm_source=openai)), 13, Amazon Appstore, App Reviews, App Store, App Store Comments, App Store Reviews, App Store Screenshots, App Store descriptions, App Store listings, App Store ratings, App official websites, App store descriptions, App store reviews, Appy Pie, AppyPie, CNET, CyberLink, Editor reviews, Expert Reviews, Expert reviews, Expert reviews from tech blogs, Google Play, Google Play Reviews, Google Play Store, Lake Travis Community Library, Multiple, Multiple Sources, Multiple sources, Official App Websites, PCMag, Personal Testing, Personal testing, Platform official websites, Review articles, Source 9, Tech Blogs, Tech blogs, Tech reviews, TechRadar, User Feedback, User Reviews, User reviews, User reviews on app stores, Wikipedia, YouTube, YouTube tutorials, app demonstrations, app descriptions, app documentation, app official documentation, app reviews, app screenshots, app store descriptions, app store ratings, expert analyses, expert evaluations, expert opinions, expert reviews, independent reviews, official app descriptions, official app websites, personal assessment, personal testing, tech blogs, tech reviews, turn0news12, turn0news17, turn0news21, turn0news23, turn0search0, turn0search1, turn0search4, turn0search5, usability studies, user feedback, user reviews"
User Interface and Experience,The ease of use and overall user experience of the app.,Text [1],"([tomsguide.com](https://www.tomsguide.com/us/youtube-tv-faq%2Creview-5059.html?utm_source=openai)), App Reviews, App Store, App Store Ratings, App Store Reviews, App Store descriptions, App Store listings, App Store ratings, App Store reviews, App Stores, App reviews, AppStore reviews, Design Blogs, Design critiques, Expert Reviews, Expert analyses, Expert critiques, Expert reviews, GSM Arena, Google Play Store, Google Play Store Reviews, Google Play ratings, Mashable, Official App Websites, Official app websites, PCMag, PlayStore reviews, Tech Blogs, Tech blogs, Tech reviews, TechCrunch, TechRadar, Trustpilot, UI/UX Analysis Reports, UI/UX design awards, UI/UX design blogs, UX design critiques, UX design reviews, Usability testing reports, User Feedback, User Reviews, User feedback, User reviews, User reviews and app descriptions, User reviews on app stores, YouTube reviews, app critiques, app design analysis, app design awards, app store listings, app store ratings, design awards, expert analyses, expert analysis, expert evaluations, expert opinions, expert reviews, expert reviews from TechCrunch, industry analyses, industry evaluations, official app websites, professional app reviews, tech articles, tech blogs, tech reviews, third-party reviews, turn0news12, turn0news14, turn0news15, turn0news16, turn0search0, turn0search1, turn0search2, turn0search4, turn0search9, usability studies, usability testing reports, user feedback, user feedback on app stores, user reviews, user reviews on app stores"
User Ratings,Average rating given by users in app stores.,Float[1],"APIs like TMDB, Amazon Appstore, App Annie, App Store, App Store Reviews, App Store ratings, App Stores, App store listings, App store ratings, App stores, App's internal database, AppAnnie, AppStore, Apple App Store, Capterra, G2, Google Play, Google Play Store, Google Play ratings, IMDb, Internal App Data, Letterboxd, Microsoft Store, Multiple, PlayStore, Reddit, Rotten Tomatoes, Sensor Tower, Third-party review aggregators, Trustpilot, Various Sources, other app marketplaces, review aggregation sites, review websites, tech reviews, third-party review aggregators, third-party review platforms, third-party review sites, third-party review websites, user feedback, user review aggregators, user review platforms, user review websites, user reviews"
